team,team_name,remaining_events,expected_added_points,added_points_p10,added_points_p50,added_points_p90,qual_prob_if_low_total_added,qual_prob_if_mid_total_added,qual_prob_if_high_total_added
8,Paly Robotics,1.0,55.19446666666666,47.0,55.0,64.0,1.0,1.0,1.0
100,The Wildhats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Eaglestrike,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
115,MVRT,1.0,48.72773333333333,41.0,48.0,58.0,0.9997391077484998,1.0,1.0
192,GRT,1.0,16.9022,9.0,16.0,26.0,0.0,0.0319623389494549,0.9634303373680144
199,Deep Blue,1.0,25.0832,17.0,24.0,34.0,0.0,0.0,0.06430379746835443
253,Boba Bots,1.0,21.877266666666667,14.0,21.0,31.0,0.9886611426079372,1.0,1.0
254,The Cheesy Poofs,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
581,Blazing Bulldogs,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
604,Quixilver,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
649,MSET Fish,0.0,0.0,0.0,0.0,0.0,0.9268666666666666,0.9268666666666666,0.9268666666666666
668,The Apes of Wrath,0.0,0.0,0.0,0.0,0.0,0.07953333333333333,0.07953333333333333,0.07953333333333333
670,Homestead Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
701,RoboVikes,1.0,17.139866666666666,9.0,17.0,26.0,0.0,0.0,0.038938492063492064
751,barn2robotics,1.0,22.317533333333333,14.0,22.0,31.0,0.0,0.0,0.08943089430894309
766,M-A Bears,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
840,Aragon Robotics Team,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
841,The BioMechs,1.0,37.748133333333335,30.0,37.0,47.0,0.9585204755614267,1.0,1.0
846,The Funky Monkeys,1.0,63.9878,56.0,63.0,73.0,1.0,1.0,1.0
852,ARC Robotics,1.0,21.798,14.0,21.0,31.0,0.0,0.0,0.1305268731797723
971,Spartan Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
972,Iron Claw,1.0,62.64033333333333,55.0,62.0,72.0,1.0,1.0,1.0
1072,Harker Robotics,1.0,37.2058,29.0,37.0,46.0,0.9681125439624854,1.0,1.0
1280,Ragin' C-Biscuits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1323,MadTown Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1351,TKO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1458,Red Tie Robotics,1.0,17.634666666666668,9.0,17.0,27.0,0.0,0.0,0.37099023709902373
1671,Buchanan Bird Brains,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1678,Citrus Circuits,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1700,Gatorbotics,1.0,17.942066666666665,10.0,17.0,27.0,0.0,0.0,0.04939229376777864
1854,The Chomp Bots,1.0,10.0836,2.0,9.0,19.0,0.0,0.0,0.0
1857,Citrus Sparks,0.0,0.0,0.0,0.0,0.0,0.9826666666666667,0.9826666666666667,0.9826666666666667
1868,Space Cookies,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
